,expFolder,_av_IDs,vis_score_test
3454,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,474,0.9026543793390824
1268,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,61,0.9044089085169636
2616,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,64,0.9071303854363518
1678,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,473,0.908317217068509
1603,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,398,0.908688570844139
1691,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,486,0.9090756329887912
1539,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,334,0.9097844669116129
1461,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,254,0.9115175582516126
2614,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,62,0.9122311996516372
1638,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,433,0.9126452127940012
1257,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,50,0.914179088934732
199,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,202,0.9144661534280004
1311,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,104,0.9147835363346009
1241,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,34,0.914829159984367
1748,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,543,0.917016842613926
2824,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,272,0.9170596234591756
2663,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,111,0.9172091826636528
1584,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,379,0.9174080754903978
4159,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,200,0.9175131531353418
132,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,134,0.9178199354342534
2569,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,17,0.9181104163244012
1478,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,271,0.9200697158609596
1604,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,399,0.9206462094557823
4082,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,116,0.9214763895078404
1233,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,26,0.9224535585958856
2638,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,86,0.9224783983524144
1578,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,373,0.9234522992562886
1529,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,324,0.923725375095794
1342,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,135,0.924008356126026
1291,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,84,0.9266372359855224
1581,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,376,0.9276591407393148
1711,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,506,0.9289778351613408
904,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,200,0.930597817717972
169,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,171,0.9314401929666912
1625,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,420,0.9325127108868168
5320,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,103,0.9329421520305852
896,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,192,0.9345446851126724
1454,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,247,0.9349554489484824
4453,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,134,0.9365661013953112
1614,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,409,0.9368892765071216
2639,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,87,0.9383494083916178
1623,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,418,0.9385932116333326
1672,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,467,0.9389002575517
1341,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,134,0.9392920607582744
2607,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,55,0.9402098807454444
1761,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,556,0.9403026196644422
3626,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,151,0.9405146802615112
216,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,219,0.9427645107203836
2609,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,57,0.9430657763636072
3160,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,179,0.9433755709232216
4270,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,311,0.9435096482554328
1613,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,408,0.9437113420308628
1303,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,96,0.9438300659295534
1755,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,550,0.9440322311480815
3157,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,176,0.944505884404141
2600,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,48,0.9451084633725796
2604,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,52,0.9460165143125564
162,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,164,0.9461782934111278
2644,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,92,0.948496718962369
3860,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,388,0.9488124943465692
2648,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,96,0.950250884898606
891,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,187,0.9503728114036052
2601,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,49,0.9555490520878104
2615,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,63,0.9557862036294948
1288,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,81,0.956681420160168
1269,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,62,0.9568659292912916
1314,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,107,0.9579638886493532
182,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,185,0.9595107310283412
1370,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,163,0.9599313019970348
833,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,128,0.9604751656745648
1745,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,540,0.9609316898260386
1680,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,475,0.96134178151004
1612,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,407,0.9619706943288222
2915,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,363,0.9626496211939314
1607,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,402,0.9634288724248998
3617,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,141,0.9640272241259048
261,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,264,0.9641200271545048
3177,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,196,0.9643018496378234
1309,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,102,0.9651077825284224
1227,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,20,0.96549488648212
4467,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,148,0.9664502087392792
2872,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,320,0.9666081727118614
1567,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,362,0.9678065220359842
4953,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,136,0.9690478362572856
1302,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,95,0.9692852902645188
1585,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,380,0.9703735904049048
1053,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,350,0.9708219638015482
157,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,159,0.9710167292978984
1343,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,136,0.9710490652355932
2642,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,90,0.9735569405929267
5330,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,113,0.9739814533348288
3656,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,181,0.9746185024295276
1540,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,335,0.9752790068972282
1056,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,353,0.9766086537925508
1634,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,429,0.9780791550857988
4929,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,112,0.9783136284809644
3614,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,138,0.9788678812618103
3644,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,169,0.9791875820614218
2879,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,327,0.9802285286545092
2618,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,66,0.980817480483093
1707,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,502,0.981423532902738
4455,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,136,0.9816673573361594
4927,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,110,0.982129171552652
185,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,188,0.9823403913182528
2893,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,341,0.9829190669241088
2595,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,43,0.984822149146293
4943,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,126,0.9851202701953452
5131,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,314,0.985879830002504
5307,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,90,0.9858829021130208
3924,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,452,0.987237599685885
1534,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,329,0.9884046777858462
2661,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,109,0.9886823780987308
1730,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,525,0.98913681353342
184,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,187,0.9906223526367216
4940,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,123,0.9906939684690016
2874,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,322,0.9915988623784388
1254,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,47,0.991603913858146
5334,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,117,0.9956558274377048
2575,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,23,0.9965604571512496
